"","sex","age","degree","income","income_vs_average","satisfication","happy","health"
"682","Male",51,"Hight school","More than $25000","Above average","Pretty well satisfied","Very happy","Excellent"
"683","Female",84,"Hight school","More than $25000","Above average","Pretty well satisfied","Pretty happy","Excellent"
"684","Male",81,"Graduate","More than $25000","Above average","Pretty well satisfied","Not too happy","Good"
"685","Female",31,"Bachelors","More than $25000","Above average","More of less satisfied","Pretty happy","Good"
"686","Female",41,"Hight school","More than $25000","Average","More of less satisfied","Very happy","Excellent"
"687","Female",60,"associate/junior college","More than $25000","Average","More of less satisfied","Pretty happy","Excellent"
"688","Female",46,"Hight school","$1000-$2999","Far below average","Not satisfied at all","Pretty happy","Good"
"689","Male",41,"Hight school","More than $25000","Average","More of less satisfied","Pretty happy","Poor"
"690","Male",40,"Bachelors","More than $25000","Below average","Not satisfied at all","Not too happy","Fair"
"691","Male",65,"Graduate","More than $25000","Above average","Pretty well satisfied","Pretty happy","Good"
"692","Male",28,"associate/junior college","$10000-$14999","Far below average","More of less satisfied","Not too happy","Fair"
"693","Male",46,"Bachelors","More than $25000","Above average","More of less satisfied","Not too happy","Good"
"694","Male",67,"Graduate","More than $25000","Above average","More of less satisfied","Pretty happy","Excellent"
"695","Female",38,"Hight school","$15000-$19999","Far below average","Not satisfied at all","Not too happy","Fair"
"696","Female",47,"associate/junior college","More than $25000","Average","More of less satisfied","Not too happy","Good"
"697","Male",28,"Bachelors","More than $25000","Average","Pretty well satisfied","Pretty happy","Good"
"698","Female",81,"Hight school","More than $25000","Average","More of less satisfied","Very happy","Good"
"699","Male",72,"Bachelors","More than $25000","Average","More of less satisfied","Pretty happy","Good"
"700","Male",36,"associate/junior college","More than $25000","Average","More of less satisfied","Pretty happy","Good"
"701","Female",83,"Graduate","More than $25000","Above average","Pretty well satisfied","Pretty happy","Good"
"702","Female",33,"associate/junior college","More than $25000","Average","More of less satisfied","Pretty happy","Fair"
"703","Female",34,"Hight school","$20000-$24999","Below average","Not satisfied at all","Pretty happy","Good"
"704","Male",81,"Hight school","$10000-$14999","Far below average","More of less satisfied","Pretty happy","Excellent"
"705","Male",70,"Bachelors","More than $25000","Below average","More of less satisfied","Very happy","Good"
"706","Female",57,"Hight school","More than $25000","Average","Pretty well satisfied","Very happy","Excellent"
"707","Male",42,"Hight school","More than $25000","Above average","Pretty well satisfied","Not too happy","Good"
"708","Female",63,"Graduate","More than $25000","Average","More of less satisfied","Pretty happy","Good"
"709","Male",41,"Hight school","More than $25000","Above average","Pretty well satisfied","Pretty happy","Good"
"710","Female",63,"Hight school","More than $25000","Below average","More of less satisfied","Pretty happy","Good"
"711","Male",83,"Hight school","More than $25000","Average","More of less satisfied","Pretty happy","Good"
"712","Female",72,"Hight school","$20000-$24999","Below average","More of less satisfied","Pretty happy","Good"
"713","Female",50,"Hight school","$10000-$14999","Below average","Not satisfied at all","Pretty happy","Fair"
"714","Female",52,"Hight school","More than $25000","Above average","Pretty well satisfied","Pretty happy","Good"
"715","Male",45,"Hight school","More than $25000","Average","More of less satisfied","Pretty happy","Good"
"716","Male",68,"Hight school","More than $25000","Average","Pretty well satisfied","Pretty happy","Fair"
"717","Male",33,"Bachelors","More than $25000","Far above average","Not satisfied at all","Very happy","Excellent"
"718","Female",43,"associate/junior college","More than $25000","Below average","More of less satisfied","Not too happy","Good"
"719","Male",72,"Hight school","More than $25000","Below average","Pretty well satisfied","Very happy","Good"
"720","Female",89,"Hight school","$9000-$9999","Far below average","More of less satisfied","Pretty happy","Fair"
"721","Female",59,"Hight school","$9000-$9999","Far below average","Not satisfied at all","Pretty happy","Fair"
"722","Male",29,"Less than high school","More than $25000","Average","More of less satisfied","Very happy","Good"
"723","Male",64,"Graduate","More than $25000","Above average","Pretty well satisfied","Very happy","Excellent"
"724","Female",44,"Hight school","More than $25000","Average","Pretty well satisfied","Very happy","Good"
"725","Female",76,"Graduate","More than $25000","Below average","Not satisfied at all","Pretty happy","Good"
"726","Female",59,"Hight school","More than $25000","Below average","Pretty well satisfied","Pretty happy","Good"
"727","Male",52,"Bachelors","More than $25000","Above average","Pretty well satisfied","Pretty happy","Good"
"728","Male",34,"Bachelors","More than $25000","Average","More of less satisfied","Pretty happy","Good"
"729","Male",29,"Bachelors","More than $25000","Above average","Pretty well satisfied","Not too happy","Poor"
"730","Male",30,"Graduate","More than $25000","Average","More of less satisfied","Very happy","Excellent"
"731","Female",61,"Bachelors","More than $25000","Average","More of less satisfied","Not too happy","Good"
"732","Male",72,"Hight school","More than $25000","Average","Pretty well satisfied","Pretty happy","Good"
"733","Male",77,"Bachelors","More than $25000","Average","Pretty well satisfied","Pretty happy","Excellent"
"734","Female",69,"Graduate","More than $25000","Above average","Pretty well satisfied","Pretty happy","Good"
"735","Male",79,"Bachelors","More than $25000","Below average","More of less satisfied","Pretty happy","Good"
"736","Male",33,"Bachelors","More than $25000","Average","Pretty well satisfied","Pretty happy","Good"
"737","Female",37,"Graduate","More than $25000","Average","Not satisfied at all","Very happy","Excellent"
"738","Male",64,"Hight school","$15000-$19999","Below average","Not satisfied at all","Not too happy","Excellent"
"739","Male",56,"Graduate","More than $25000","Above average","More of less satisfied","Pretty happy","Good"
"740","Male",24,"Bachelors","More than $25000","Average","More of less satisfied","Not too happy","Good"
"741","Male",38,"Bachelors","More than $25000","Average","More of less satisfied","Not too happy","Good"
"742","Female",31,"Bachelors","More than $25000","Above average","Pretty well satisfied","Pretty happy","Excellent"
"743","Female",56,"Hight school","More than $25000","Average","More of less satisfied","Very happy","Excellent"
"744","Female",62,"Hight school","More than $25000","Average","More of less satisfied","Not too happy","Fair"
"745","Male",42,"Graduate","More than $25000","Below average","Not satisfied at all","Not too happy","Good"
"746","Female",37,"Hight school","More than $25000","Average","Pretty well satisfied","Very happy","Good"
"747","Female",39,"Bachelors","More than $25000","Average","Pretty well satisfied","Pretty happy","Fair"
"748","Male",69,"Bachelors","More than $25000","Average","Pretty well satisfied","Very happy","Excellent"
"749","Male",40,"Bachelors","More than $25000","Average","Pretty well satisfied","Very happy","Good"
"750","Female",85,"Graduate","More than $25000","Average","Pretty well satisfied","Very happy","Good"
"751","Female",42,"Bachelors","More than $25000","Below average","Not satisfied at all","Pretty happy","Good"
"752","Female",78,"Hight school","More than $25000","Below average","More of less satisfied","Not too happy","Good"
"753","Female",39,"Hight school","More than $25000","Average","More of less satisfied","Very happy","Good"
"754","Female",46,"Graduate","More than $25000","Above average","Pretty well satisfied","Pretty happy","Excellent"
"755","Female",42,"associate/junior college","More than $25000","Average","More of less satisfied","Very happy","Excellent"
"756","Male",58,"Graduate","More than $25000","Average","More of less satisfied","Not too happy","Good"
"757","Male",66,"Graduate","More than $25000","Average","Pretty well satisfied","Pretty happy","Good"
"758","Male",86,"Hight school","More than $25000","Below average","More of less satisfied","Very happy","Good"
"759","Female",20,"Hight school","More than $25000","Average","More of less satisfied","Not too happy","Fair"
"760","Male",65,"Hight school","$10000-$14999","Far below average","Not satisfied at all","Not too happy","Good"
"761","Female",34,"associate/junior college","More than $25000","Average","More of less satisfied","Pretty happy","Good"
"762","Female",37,"Bachelors","More than $25000","Above average","Pretty well satisfied","Pretty happy","Good"
"763","Male",89,"Hight school","More than $25000","Below average","Pretty well satisfied","Pretty happy","Good"
"764","Male",54,"Bachelors","More than $25000","Far above average","Pretty well satisfied","Very happy","Good"
"765","Male",21,"Hight school","More than $25000","Far below average","More of less satisfied","Very happy","Fair"
"766","Female",59,"Hight school","More than $25000","Average","More of less satisfied","Pretty happy","Fair"
"767","Male",25,"Bachelors","More than $25000","Above average","More of less satisfied","Pretty happy","Good"
"768","Male",61,"Graduate","More than $25000","Above average","Pretty well satisfied","Very happy","Good"
"769","Female",52,"Bachelors","More than $25000","Average","More of less satisfied","Pretty happy","Good"
"770","Female",59,"Graduate","More than $25000","Average","More of less satisfied","Pretty happy","Excellent"
"771","Male",32,"Bachelors","More than $25000","Below average","More of less satisfied","Pretty happy","Good"
"772","Male",50,"Hight school","More than $25000","Above average","More of less satisfied","Pretty happy","Good"
"773","Female",58,"Graduate","More than $25000","Average","More of less satisfied","Not too happy","Good"
"774","Female",25,"Graduate","More than $25000","Average","More of less satisfied","Pretty happy","Good"
"775","Male",84,"Graduate","More than $25000","Above average","Pretty well satisfied","Pretty happy","Good"
"776","Female",54,"Bachelors","More than $25000","Below average","Not satisfied at all","Pretty happy","Good"
"777","Male",33,"Hight school","More than $25000","Average","Not satisfied at all","Pretty happy","Good"
"778","Male",76,"Graduate","More than $25000","Above average","Pretty well satisfied","Pretty happy","Excellent"
"779","Female",51,"Hight school","$20000-$24999","Below average","Not satisfied at all","Pretty happy","Fair"
"780","Female",29,"Bachelors","More than $25000","Average","More of less satisfied","Pretty happy","Good"
"781","Female",64,"Bachelors","More than $25000","Below average","Not satisfied at all","Not too happy","Good"
"782","Female",37,"Hight school","More than $25000","Below average","Not satisfied at all","Pretty happy","Excellent"
"783","Male",30,"Hight school","$20000-$24999","Average","Not satisfied at all","Pretty happy","Fair"
"784","Female",34,"Bachelors","More than $25000","Average","More of less satisfied","Pretty happy","Good"
"785","Male",74,"Hight school","$20000-$24999","Below average","Not satisfied at all","Pretty happy","Good"
"786","Female",28,"Graduate","More than $25000","Below average","Pretty well satisfied","Very happy","Excellent"
"787","Female",44,"Hight school","More than $25000","Far below average","Not satisfied at all","Pretty happy","Fair"
"788","Female",63,"associate/junior college","More than $25000","Above average","More of less satisfied","Not too happy","Good"
"789","Female",48,"Bachelors","More than $25000","Average","More of less satisfied","Pretty happy","Good"
"790","Male",43,"Hight school","More than $25000","Average","More of less satisfied","Pretty happy","Good"
"791","Female",69,"Hight school","$1000-$2999","Far above average","Not satisfied at all","Pretty happy","Poor"
"792","Female",79,"Hight school","More than $25000","Average","More of less satisfied","Pretty happy","Good"
"793","Female",39,"Hight school","More than $25000","Average","More of less satisfied","Pretty happy","Good"
"794","Female",69,"associate/junior college","More than $25000","Average","More of less satisfied","Pretty happy","Good"
"795","Female",64,"Hight school","More than $25000","Average","Pretty well satisfied","Pretty happy","Good"
"796","Female",48,"Bachelors","More than $25000","Average","Pretty well satisfied","Pretty happy","Fair"
"797","Female",75,"Hight school","More than $25000","Below average","Not satisfied at all","Pretty happy","Good"
"798","Male",27,"Hight school","$10000-$14999","Below average","More of less satisfied","Not too happy","Fair"
"799","Male",67,"Hight school","More than $25000","Average","Pretty well satisfied","Not too happy","Good"
"800","Female",62,"Hight school","$20000-$24999","Average","Pretty well satisfied","Pretty happy","Good"
"801","Male",35,"Less than high school","More than $25000","Average","Not satisfied at all","Pretty happy","Good"
"802","Male",46,"Graduate","More than $25000","Average","More of less satisfied","Pretty happy","Excellent"
"803","Male",33,"Bachelors","More than $25000","Average","More of less satisfied","Pretty happy","Excellent"
"804","Female",50,"associate/junior college","More than $25000","Average","Not satisfied at all","Not too happy","Fair"
"805","Female",49,"Graduate","More than $25000","Average","More of less satisfied","Pretty happy","Good"
"806","Female",39,"Less than high school","$20000-$24999","Average","More of less satisfied","Very happy","Good"
"807","Female",33,"Bachelors","More than $25000","Above average","Not satisfied at all","Pretty happy","Good"
"808","Male",85,"associate/junior college","More than $25000","Above average","Pretty well satisfied","Pretty happy","Good"
"809","Female",62,"Hight school","More than $25000","Below average","More of less satisfied","Very happy","Good"
"810","Female",28,"Graduate","$15000-$19999","Above average","Pretty well satisfied","Not too happy","Fair"
"811","Male",30,"Graduate","$20000-$24999","Below average","More of less satisfied","Pretty happy","Fair"
"812","Male",23,"Hight school","$5000-$5999","Far below average","Not satisfied at all","Not too happy","Excellent"
"813","Female",76,"Bachelors","More than $25000","Average","Pretty well satisfied","Pretty happy","Good"
"814","Female",80,"Hight school","More than $25000","Above average","More of less satisfied","Not too happy","Good"
"815","Male",69,"Bachelors","More than $25000","Average","Pretty well satisfied","Pretty happy","Good"
"816","Male",49,"Graduate","More than $25000","Above average","Pretty well satisfied","Very happy","Good"
"817","Male",48,"Graduate","More than $25000","Far above average","More of less satisfied","Not too happy","Good"
"818","Female",28,"Graduate","under $1000","Above average","More of less satisfied","Pretty happy","Excellent"
"819","Female",26,"Hight school","$3000-$3999","Average","Pretty well satisfied","Pretty happy","Excellent"
"820","Female",49,"Bachelors","More than $25000","Above average","More of less satisfied","Pretty happy","Good"
"821","Female",35,"Hight school","More than $25000","Below average","Not satisfied at all","Pretty happy","Good"
"822","Male",82,"Bachelors","More than $25000","Above average","Pretty well satisfied","Pretty happy","Good"
"823","Female",59,"Hight school","More than $25000","Far below average","Not satisfied at all","Very happy","Excellent"
"824","Female",37,"Graduate","$10000-$14999","Average","More of less satisfied","Pretty happy","Excellent"
"825","Female",29,"Bachelors","More than $25000","Average","More of less satisfied","Very happy","Excellent"
"826","Male",68,"Bachelors","More than $25000","Above average","Pretty well satisfied","Not too happy","Excellent"
"827","Male",41,"Bachelors","More than $25000","Below average","Not satisfied at all","Pretty happy","Excellent"
"828","Male",45,"Graduate","More than $25000","Above average","Pretty well satisfied","Not too happy","Good"
"829","Female",42,"Graduate","More than $25000","Average","Not satisfied at all","Not too happy","Good"
"830","Female",40,"Graduate","More than $25000","Above average","More of less satisfied","Pretty happy","Good"
"831","Male",71,"Graduate","More than $25000","Above average","More of less satisfied","Pretty happy","Good"
"832","Female",59,"Graduate","More than $25000","Average","More of less satisfied","Very happy","Excellent"
"833","Female",44,"Hight school","More than $25000","Average","More of less satisfied","Very happy","Good"
"834","Male",70,"Graduate","More than $25000","Above average","Pretty well satisfied","Very happy","Good"
"835","Male",37,"Bachelors","More than $25000","Below average","Pretty well satisfied","Very happy","Good"
"836","Male",64,"Bachelors","More than $25000","Above average","Pretty well satisfied","Not too happy","Good"
"837","Female",67,"Graduate","More than $25000","Above average","Pretty well satisfied","Pretty happy","Good"
"838","Female",43,"associate/junior college","More than $25000","Below average","Not satisfied at all","Not too happy","Fair"
"839","Male",42,"Bachelors","More than $25000","Average","More of less satisfied","Pretty happy","Fair"
"840","Male",29,"associate/junior college","More than $25000","Average","More of less satisfied","Pretty happy","Excellent"
"841","Male",75,"Hight school","More than $25000","Above average","Pretty well satisfied","Not too happy","Good"
"842","Male",59,"Hight school","More than $25000","Average","More of less satisfied","Pretty happy","Good"
"843","Male",53,"Hight school","More than $25000","Average","Not satisfied at all","Pretty happy","Good"
"844","Female",27,"Hight school","More than $25000","Average","Not satisfied at all","Pretty happy","Good"
"845","Female",30,"Graduate","More than $25000","Average","Pretty well satisfied","Very happy","Good"
"846","Male",46,"Hight school","More than $25000","Average","More of less satisfied","Pretty happy","Good"
"847","Female",36,"associate/junior college","More than $25000","Average","Not satisfied at all","Pretty happy","Good"
"848","Female",84,"Hight school","$20000-$24999","Average","Not satisfied at all","Not too happy","Poor"
"849","Female",25,"Graduate","More than $25000","Below average","More of less satisfied","Very happy","Good"
"850","Female",74,"Bachelors","More than $25000","Above average","Pretty well satisfied","Pretty happy","Good"
"851","Male",51,"associate/junior college","More than $25000","Average","More of less satisfied","Pretty happy","Excellent"
"852","Male",61,"Hight school","More than $25000","Average","Pretty well satisfied","Pretty happy","Excellent"
"853","Female",32,"Bachelors","$1000-$2999","Below average","Not satisfied at all","Not too happy","Good"
"854","Female",35,"associate/junior college","More than $25000","Average","More of less satisfied","Very happy","Excellent"
"855","Female",57,"Hight school","$15000-$19999","Below average","More of less satisfied","Pretty happy","Good"
"856","Female",74,"Bachelors","More than $25000","Below average","Pretty well satisfied","Pretty happy","Good"
"857","Female",89,"Hight school","More than $25000","Below average","Not satisfied at all","Pretty happy","Good"
"858","Male",67,"Graduate","$15000-$19999","Above average","Pretty well satisfied","Pretty happy","Excellent"
"859","Male",74,"Hight school","More than $25000","Above average","Pretty well satisfied","Pretty happy","Good"
"860","Male",79,"Graduate","More than $25000","Above average","Pretty well satisfied","Not too happy","Excellent"
"861","Female",66,"Hight school","More than $25000","Average","More of less satisfied","Not too happy","Good"
"862","Male",24,"Bachelors","More than $25000","Above average","Not satisfied at all","Very happy","Excellent"
"863","Male",36,"Bachelors","More than $25000","Average","More of less satisfied","Very happy","Good"
"864","Male",56,"Hight school","More than $25000","Average","More of less satisfied","Pretty happy","Good"
"865","Female",47,"Hight school","More than $25000","Average","Not satisfied at all","Pretty happy","Excellent"
"866","Female",58,"Hight school","$20000-$24999","Below average","Not satisfied at all","Pretty happy","Good"
"867","Female",67,"Graduate","More than $25000","Average","Not satisfied at all","Pretty happy","Good"
"868","Male",68,"Bachelors","More than $25000","Above average","More of less satisfied","Very happy","Excellent"
"869","Male",19,"Hight school","More than $25000","Below average","Not satisfied at all","Pretty happy","Good"
"870","Male",87,"Graduate","More than $25000","Average","More of less satisfied","Not too happy","Fair"
"871","Female",78,"Hight school","$15000-$19999","Below average","More of less satisfied","Pretty happy","Good"
"872","Male",88,"Graduate","More than $25000","Below average","More of less satisfied","Pretty happy","Good"
"873","Male",55,"Hight school","More than $25000","Above average","Pretty well satisfied","Pretty happy","Good"
"874","Female",61,"Hight school","More than $25000","Average","More of less satisfied","Pretty happy","Good"
"875","Female",54,"associate/junior college","More than $25000","Average","Not satisfied at all","Pretty happy","Good"
"876","Male",61,"Bachelors","More than $25000","Above average","Pretty well satisfied","Very happy","Excellent"
"877","Female",22,"Bachelors","More than $25000","Below average","Not satisfied at all","Not too happy","Fair"
"878","Male",87,"Bachelors","More than $25000","Below average","More of less satisfied","Pretty happy","Fair"
"879","Male",78,"Hight school","More than $25000","Below average","More of less satisfied","Pretty happy","Fair"
"880","Female",37,"Less than high school","More than $25000","Average","Pretty well satisfied","Very happy","Excellent"
"881","Female",26,"Hight school","$9000-$9999","Average","Not satisfied at all","Pretty happy","Good"
"882","Male",79,"Bachelors","More than $25000","Above average","Pretty well satisfied","Pretty happy","Good"
"883","Female",46,"Bachelors","More than $25000","Average","Not satisfied at all","Pretty happy","Good"
"884","Female",51,"Bachelors","More than $25000","Average","More of less satisfied","Pretty happy","Good"
"885","Female",81,"Graduate","More than $25000","Average","Pretty well satisfied","Very happy","Good"
"886","Female",44,"Bachelors","More than $25000","Above average","Pretty well satisfied","Very happy","Excellent"
"887","Female",80,"Bachelors","More than $25000","Below average","More of less satisfied","Pretty happy","Excellent"
"888","Male",31,"Hight school","under $1000","Far below average","More of less satisfied","Pretty happy","Fair"
"889","Male",63,"Bachelors","More than $25000","Above average","Pretty well satisfied","Very happy","Good"
"890","Female",40,"Hight school","More than $25000","Average","More of less satisfied","Pretty happy","Good"
"891","Male",72,"Hight school","More than $25000","Below average","Not satisfied at all","Not too happy","Fair"
"892","Female",57,"Graduate","More than $25000","Average","More of less satisfied","Not too happy","Good"
"893","Male",66,"associate/junior college","More than $25000","Average","More of less satisfied","Very happy","Good"
"894","Female",49,"Hight school","More than $25000","Average","More of less satisfied","Pretty happy","Fair"
"895","Female",40,"Graduate","More than $25000","Average","More of less satisfied","Pretty happy","Good"
"896","Female",42,"Graduate","More than $25000","Far above average","Pretty well satisfied","Not too happy","Good"
"897","Female",32,"Graduate","More than $25000","Average","Not satisfied at all","Very happy","Excellent"
"898","Female",73,"Less than high school","$20000-$24999","Far below average","Not satisfied at all","Very happy","Good"
"899","Male",76,"Hight school","$15000-$19999","Below average","More of less satisfied","Not too happy","Fair"
"900","Male",55,"Bachelors","More than $25000","Above average","More of less satisfied","Pretty happy","Excellent"
"901","Female",52,"Hight school","More than $25000","Average","More of less satisfied","Pretty happy","Good"
"902","Male",57,"Hight school","$9000-$9999","Below average","Pretty well satisfied","Pretty happy","Good"
"903","Female",82,"Bachelors","More than $25000","Above average","Pretty well satisfied","Very happy","Good"
"904","Male",68,"Hight school","More than $25000","Below average","More of less satisfied","Not too happy","Good"
"905","Female",29,"Less than high school","More than $25000","Below average","Not satisfied at all","Pretty happy","Good"
"906","Female",39,"Graduate","More than $25000","Above average","Pretty well satisfied","Pretty happy","Good"
"907","Female",41,"Hight school","More than $25000","Average","Pretty well satisfied","Pretty happy","Good"
"908","Male",85,"associate/junior college","More than $25000","Below average","Pretty well satisfied","Very happy","Excellent"
"909","Male",80,"Bachelors","$10000-$14999","Average","More of less satisfied","Pretty happy","Good"
"910","Male",73,"Hight school","More than $25000","Average","Pretty well satisfied","Not too happy","Good"
"911","Male",40,"Hight school","More than $25000","Average","Pretty well satisfied","Pretty happy","Good"
"912","Female",80,"Graduate","More than $25000","Average","Pretty well satisfied","Pretty happy","Good"
"913","Male",40,"Bachelors","More than $25000","Above average","More of less satisfied","Pretty happy","Good"
"914","Female",60,"associate/junior college","$5000-$5999","Above average","Not satisfied at all","Pretty happy","Good"
"915","Female",60,"Hight school","More than $25000","Average","Pretty well satisfied","Not too happy","Fair"
"916","Male",59,"Hight school","More than $25000","Above average","Pretty well satisfied","Pretty happy","Fair"
"917","Female",72,"associate/junior college","More than $25000","Far below average","More of less satisfied","Very happy","Excellent"
"918","Female",48,"Less than high school","More than $25000","Below average","Not satisfied at all","Pretty happy","Good"
"919","Female",68,"associate/junior college","$10000-$14999","Average","Pretty well satisfied","Very happy","Excellent"
"920","Female",40,"Hight school","$1000-$2999","Far below average","Not satisfied at all","Not too happy","Good"
"921","Female",25,"associate/junior college","$10000-$14999","Far below average","Not satisfied at all","Pretty happy","Fair"
"922","Female",32,"associate/junior college","$15000-$19999","Average","Not satisfied at all","Not too happy","Good"
"923","Male",39,"Hight school","More than $25000","Average","Pretty well satisfied","Pretty happy","Good"
"924","Female",68,"Hight school","$9000-$9999","Below average","Not satisfied at all","Pretty happy","Fair"
"925","Female",75,"Hight school","$7000-$7999","Below average","Not satisfied at all","Not too happy","Good"
"926","Female",37,"associate/junior college","More than $25000","Average","More of less satisfied","Very happy","Excellent"
"927","Male",66,"Hight school","More than $25000","Average","More of less satisfied","Pretty happy","Good"
"928","Male",58,"Bachelors","More than $25000","Above average","Pretty well satisfied","Very happy","Excellent"
"929","Female",54,"Hight school","More than $25000","Below average","Not satisfied at all","Not too happy","Excellent"
"930","Male",23,"associate/junior college","More than $25000","Average","Pretty well satisfied","Pretty happy","Excellent"
"931","Female",33,"Hight school","$15000-$19999","Below average","Not satisfied at all","Pretty happy","Good"
"932","Female",58,"associate/junior college","More than $25000","Average","Pretty well satisfied","Pretty happy","Good"
"933","Male",47,"Bachelors","More than $25000","Average","Not satisfied at all","Not too happy","Good"
"934","Male",62,"Bachelors","More than $25000","Above average","Pretty well satisfied","Pretty happy","Good"
"935","Male",42,"Bachelors","$20000-$24999","Average","More of less satisfied","Very happy","Excellent"
"936","Female",39,"Bachelors","More than $25000","Above average","Pretty well satisfied","Very happy","Good"
"937","Female",50,"associate/junior college","$20000-$24999","Above average","More of less satisfied","Pretty happy","Good"
"938","Male",67,"Hight school","under $1000","Below average","More of less satisfied","Pretty happy","Good"
"939","Female",28,"associate/junior college","More than $25000","Average","More of less satisfied","Pretty happy","Good"
"940","Male",84,"Hight school","More than $25000","Average","More of less satisfied","Pretty happy","Good"
"941","Male",46,"associate/junior college","More than $25000","Average","More of less satisfied","Very happy","Good"
"942","Female",43,"Hight school","More than $25000","Average","More of less satisfied","Pretty happy","Good"
"943","Female",52,"Bachelors","More than $25000","Average","More of less satisfied","Pretty happy","Good"
"944","Female",38,"Graduate","More than $25000","Below average","Not satisfied at all","Pretty happy","Good"
"945","Female",57,"Graduate","More than $25000","Above average","Pretty well satisfied","Not too happy","Good"
"946","Female",51,"Graduate","More than $25000","Average","Not satisfied at all","Pretty happy","Excellent"
"947","Female",50,"Bachelors","More than $25000","Above average","Pretty well satisfied","Pretty happy","Good"
"948","Female",42,"Hight school","More than $25000","Below average","Not satisfied at all","Pretty happy","Good"
"949","Male",55,"Bachelors","More than $25000","Above average","More of less satisfied","Pretty happy","Good"
"950","Male",70,"Hight school","More than $25000","Average","More of less satisfied","Not too happy","Good"
"951","Female",64,"Hight school","$10000-$14999","Below average","Not satisfied at all","Pretty happy","Fair"
"952","Female",67,"Hight school","More than $25000","Average","More of less satisfied","Very happy","Good"
"953","Male",41,"Hight school","More than $25000","Average","More of less satisfied","Very happy","Excellent"
"954","Female",80,"Hight school","More than $25000","Below average","More of less satisfied","Pretty happy","Good"
"955","Female",84,"Hight school","More than $25000","Average","Not satisfied at all","Pretty happy","Good"
"956","Male",65,"Bachelors","More than $25000","Below average","More of less satisfied","Pretty happy","Good"
"957","Female",87,"Hight school","More than $25000","Below average","More of less satisfied","Not too happy","Fair"
"958","Female",61,"Hight school","$15000-$19999","Far below average","Not satisfied at all","Pretty happy","Good"
"959","Female",55,"Hight school","$20000-$24999","Below average","Not satisfied at all","Pretty happy","Good"
"960","Male",58,"Graduate","More than $25000","Average","Not satisfied at all","Pretty happy","Good"
"961","Female",62,"Graduate","More than $25000","Average","More of less satisfied","Not too happy","Good"
"962","Male",66,"Bachelors","More than $25000","Above average","Pretty well satisfied","Pretty happy","Good"
"963","Male",33,"associate/junior college","More than $25000","Below average","Not satisfied at all","Not too happy","Good"
"964","Female",55,"associate/junior college","More than $25000","Average","More of less satisfied","Very happy","Excellent"
"965","Female",69,"Graduate","More than $25000","Average","More of less satisfied","Pretty happy","Good"
"966","Female",75,"Graduate","More than $25000","Above average","Pretty well satisfied","Pretty happy","Fair"
"967","Female",61,"Hight school","More than $25000","Below average","Pretty well satisfied","Pretty happy","Good"
"968","Male",82,"Less than high school","More than $25000","Below average","More of less satisfied","Not too happy","Fair"
"969","Female",77,"Hight school","More than $25000","Below average","More of less satisfied","Not too happy","Poor"
"970","Female",72,"Hight school","$1000-$2999","Below average","Not satisfied at all","Not too happy","Poor"
"971","Male",31,"Hight school","More than $25000","Average","Not satisfied at all","Pretty happy","Good"
"972","Female",67,"Graduate","More than $25000","Average","Pretty well satisfied","Pretty happy","Good"
"973","Female",67,"Bachelors","More than $25000","Above average","Pretty well satisfied","Pretty happy","Fair"
"974","Female",74,"Hight school","More than $25000","Below average","More of less satisfied","Pretty happy","Excellent"
"975","Female",77,"Hight school","More than $25000","Below average","More of less satisfied","Very happy","Good"
"976","Female",52,"Hight school","$15000-$19999","Below average","Not satisfied at all","Not too happy","Fair"
"977","Female",79,"Hight school","More than $25000","Below average","Not satisfied at all","Not too happy","Fair"
"978","Female",58,"Hight school","More than $25000","Far below average","Not satisfied at all","Not too happy","Good"
"979","Female",27,"Less than high school","$10000-$14999","Far below average","Not satisfied at all","Pretty happy","Good"
"980","Female",52,"Graduate","More than $25000","Below average","Pretty well satisfied","Pretty happy","Excellent"
"981","Female",26,"Hight school","More than $25000","Below average","Not satisfied at all","Pretty happy","Fair"
"982","Male",34,"Bachelors","More than $25000","Average","Pretty well satisfied","Very happy","Good"
"983","Female",70,"Less than high school","More than $25000","Average","More of less satisfied","Very happy","Good"
"984","Male",75,"Hight school","$7000-$7999","Below average","Not satisfied at all","Pretty happy","Good"
"985","Male",45,"Bachelors","More than $25000","Far below average","Not satisfied at all","Pretty happy","Excellent"
"986","Female",49,"associate/junior college","More than $25000","Average","More of less satisfied","Pretty happy","Good"
"987","Male",40,"Hight school","More than $25000","Below average","More of less satisfied","Very happy","Excellent"
"988","Female",46,"Hight school","More than $25000","Below average","Not satisfied at all","Pretty happy","Good"
"989","Female",57,"Hight school","$10000-$14999","Far below average","Not satisfied at all","Not too happy","Good"
"990","Female",43,"Less than high school","More than $25000","Below average","More of less satisfied","Pretty happy","Fair"
"991","Male",53,"Bachelors","More than $25000","Above average","Pretty well satisfied","Pretty happy","Fair"
"992","Male",57,"Less than high school","More than $25000","Below average","Pretty well satisfied","Not too happy","Excellent"
"993","Female",38,"associate/junior college","$9000-$9999","Below average","Not satisfied at all","Pretty happy","Good"
"994","Male",74,"Hight school","More than $25000","Average","More of less satisfied","Very happy","Good"
"995","Male",61,"Hight school","More than $25000","Average","Pretty well satisfied","Pretty happy","Good"
"996","Male",67,"Hight school","More than $25000","Average","Not satisfied at all","Pretty happy","Fair"
